country,total_orders,total_spent,max_order_value,total_orders_7d,total_spent_7d,max_order_value_7d,total_orders_30d,total_spent_30d,max_order_value_30d,total_orders_90d,total_spent_90d,max_order_value_90d,total_orders_365d,max_order_value_365d,avg_order_value,transaction_velocity_7_30,transaction_velocity_30_90,avg_days_between_orders,weekend_purchases,weekend_share,recency_days,recency_score,frequency_score,monetary_score,rfm_score,segment_name
United Kingdom,11,372.8599999999999,45.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,33.896363636363624,0.0,0.0,77.38,0,0.0,529,5,1,4,514,whale
Other,1,294.40000000000003,25.200000000000003,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,25.200000000000003,294.40000000000003,0.0,0.0,999.0,0,0.0,310,4,5,4,454,whale
Other,1,300.93,23.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,300.93,0.0,0.0,999.0,0,0.0,375,4,5,4,454,whale
Other,2,406.75999999999993,39.8,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,39.8,203.37999999999997,0.0,0.0,204.0,0,0.0,204,4,4,4,444,whale
Other,1,1079.4000000000005,54.08,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,54.08,1079.4000000000005,0.0,0.0,999.0,0,0.0,232,4,4,3,443,whale
Other,2,947.6099999999998,120.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,120.0,473.8049999999999,0.0,0.0,353.0,0,0.0,214,4,4,3,443,whale
Other,4,451.24999999999994,33.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,23.4,112.81249999999999,0.0,0.0,140.79,1,0.25,287,4,2,4,424,whale
Other,2,551.9999999999998,69.36,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,69.36,275.9999999999999,0.0,0.0,133.0,0,0.0,109,3,3,4,334,whale
Other,1,320.69,19.75,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,19.75,320.69,0.0,0.0,999.0,0,0.0,291,4,5,4,454,whale
Other,1,500.24,175.76,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,500.24,0.0,0.0,999.0,0,0.0,633,5,4,4,544,whale
Other,1,917.7,119.39999999999999,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,917.7,0.0,0.0,999.0,1,1.0,628,5,4,3,543,whale
Other,3,1511.1499999999996,148.72,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,503.7166666666665,0.0,0.0,176.78,0,0.0,413,5,3,2,532,whale
Other,3,1196.0399999999997,70.80000000000001,0,0.0,0.0,0,0.0,0.0,1,353.12,59.4,3,70.80000000000001,398.6799999999999,0.0,0.0,106.8,0,0.0,71,3,3,2,332,whale
Other,3,927.6500000000003,39.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,39.0,309.21666666666675,0.0,0.0,171.57,0,0.0,311,4,3,3,433,whale
Other,2,383.15,100.80000000000001,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,191.575,0.0,0.0,28.0,0,0.0,389,4,4,4,444,whale
Other,4,3266.3199999999997,79.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,79.2,816.5799999999999,0.0,0.0,78.29,0,0.0,315,4,2,1,421,whale
Other,2,5306.469999999998,69.36,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,69.36,2653.234999999999,0.0,0.0,433.0,0,0.0,129,3,4,1,341,whale
Other,4,1470.2199999999993,76.19999999999999,0,0.0,0.0,0,0.0,0.0,1,362.40000000000003,35.400000000000006,2,76.19999999999999,367.55499999999984,0.0,0.0,149.05,0,0.0,81,3,3,2,332,whale
Other,5,1628.5599999999997,65.69999999999999,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,65.69999999999999,325.71199999999993,0.0,0.0,34.83,0,0.0,184,3,2,2,322,whale
Other,1,1668.4000000000003,67.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1668.4000000000003,0.0,0.0,999.0,0,0.0,379,4,4,2,442,whale
Other,2,401.9,75.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,75.0,200.95,0.0,0.0,29.0,0,0.0,337,4,4,4,444,whale
Other,1,143.94,33.9,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,143.94,0.0,0.0,999.0,0,0.0,415,5,5,5,555,whale
Other,3,1433.33,204.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,477.77666666666664,0.0,0.0,129.19,0,0.0,402,4,3,2,432,whale
Other,1,504.84,30.0,0,0.0,0.0,0,0.0,0.0,1,504.84,30.0,1,30.0,504.84,0.0,0.0,999.0,0,0.0,79,3,4,4,344,whale
Other,1,234.75000000000003,70.80000000000001,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,234.75000000000003,0.0,0.0,999.0,0,0.0,591,5,5,5,555,whale
Other,1,351.0800000000001,33.2,0,0.0,0.0,0,0.0,0.0,1,729.4000000000001,266.24,2,266.24,351.0800000000001,0.0,0.0,154.0,0,0.0,63,3,4,3,343,whale
Other,1,729.3999999999999,266.24,0,0.0,0.0,0,0.0,0.0,1,729.4000000000001,266.24,2,266.24,729.3999999999999,0.0,0.0,154.0,0,0.0,63,3,4,3,343,whale
Other,1,931.4300000000006,19.9,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,931.4300000000006,0.0,0.0,999.0,0,0.0,674,5,4,3,543,whale
Other,1,1435.66,76.19999999999999,0,0.0,0.0,0,0.0,0.0,1,1435.6599999999999,76.19999999999999,1,76.19999999999999,1435.66,0.0,0.0,999.0,0,0.0,45,2,4,2,242,whale
Other,7,1842.300000000001,70.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,70.2,263.1857142857144,0.0,0.0,96.22,0,0.0,119,3,2,2,322,whale
Other,1,205.25,29.700000000000003,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,205.25,0.0,0.0,999.0,0,0.0,414,5,5,5,555,whale
Other,1,69.30000000000001,25.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,25.5,69.30000000000001,0.0,0.0,999.0,0,0.0,303,4,5,5,455,whale
Other,6,1136.8999999999994,35.400000000000006,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,35.400000000000006,189.48333333333323,0.0,0.0,69.41,2,0.33,323,4,2,3,423,whale
Other,2,947.36,244.08,0,0.0,0.0,0,0.0,0.0,1,391.7,166.0,1,166.0,473.68,0.0,0.0,472.0,0,0.0,49,2,4,3,243,whale
Other,1,1390.3900000000008,79.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,79.5,1390.3900000000008,0.0,0.0,999.0,0,0.0,148,3,4,2,342,whale
Other,3,773.7099999999999,39.6,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,39.599999999999994,257.9033333333333,0.0,0.0,162.96,1,0.33,308,4,3,3,433,whale
Other,1,346.9,59.699999999999996,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,346.9,0.0,0.0,999.0,0,0.0,409,5,4,4,544,whale
Other,6,2404.9300000000003,88.5,0,0.0,0.0,0,0.0,0.0,1,306.14,49.92,3,50.400000000000006,400.8216666666667,0.0,0.0,106.9,0,0.0,74,3,2,2,322,whale
France,3,656.15,47.7,0,0.0,0.0,0,0.0,0.0,1,176.2,35.400000000000006,3,47.7,218.71666666666667,0.0,0.0,96.11,1,0.25,66,3,3,3,333,whale
Other,1,185.34999999999997,23.25,0,0.0,0.0,0,0.0,0.0,1,176.2,35.400000000000006,3,47.7,185.34999999999997,0.0,0.0,96.11,1,0.25,66,3,3,3,333,whale
Other,4,532.4100000000001,79.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,79.2,133.10250000000002,0.0,0.0,86.67,0,0.0,217,4,2,4,424,whale
Other,24,138589.97999999986,1260.0,0,0.0,0.0,2,3637.0000000000005,429.6,6,21108.25,962.9999999999999,20,1260.0,5774.582499999994,0.0,0.3333333333333333,29.81,0,0.0,24,2,1,1,211,whale
Other,1,202.55999999999997,25.200000000000003,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,202.55999999999997,0.0,0.0,999.0,1,1.0,656,5,5,5,555,whale
Other,4,2021.1999999999998,99.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,68.0,505.29999999999995,0.0,0.0,200.79,0,0.0,112,3,3,2,332,whale
Other,2,391.01000000000005,51.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,195.50500000000002,0.0,0.0,28.0,0,0.0,385,4,4,4,444,whale
Other,1,600.3900000000001,39.8,0,0.0,0.0,0,0.0,0.0,1,600.3900000000001,39.8,1,39.8,600.3900000000001,0.0,0.0,999.0,0,0.0,63,3,4,3,343,whale
Other,2,1741.4099999999996,70.80000000000001,0,0.0,0.0,0,0.0,0.0,1,777.1999999999999,70.80000000000001,1,70.80000000000001,870.7049999999998,0.0,0.0,370.0,0,0.0,78,3,4,2,342,whale
Germany,2,1201.21,35.400000000000006,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,35.400000000000006,600.605,0.0,0.0,468.0,1,0.5,194,4,4,2,442,whale
Other,1,216.4,47.8,0,0.0,0.0,0,0.0,0.0,1,216.4,47.8,1,47.8,216.4,0.0,0.0,999.0,0,0.0,43,2,5,5,255,whale
Other,3,1103.4300000000003,47.6,0,0.0,0.0,0,0.0,0.0,1,519.8899999999999,45.0,2,47.6,367.8100000000001,0.0,0.0,158.4,0,0.0,84,3,3,3,333,whale
Other,1,429.01,49.050000000000004,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,49.050000000000004,429.01,0.0,0.0,999.0,0,0.0,99,3,4,4,344,whale
Other,2,1142.8800000000003,35.400000000000006,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,571.4400000000002,0.0,0.0,43.0,0,0.0,682,5,4,3,543,whale
Other,2,739.2,63.6,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,369.6,0.0,0.0,255.0,0,0.0,462,5,4,3,543,whale
France,1,155.55,23.25,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,155.55,0.0,0.0,999.0,0,0.0,366,4,5,5,455,whale
Other,1,365.31000000000006,40.23,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,365.31000000000006,0.0,0.0,999.0,0,0.0,732,5,4,4,544,whale
Other,1,1002.3099999999998,38.25,0,0.0,0.0,0,0.0,0.0,1,1002.3099999999998,38.25,1,38.25,1002.3099999999998,0.0,0.0,999.0,0,0.0,57,2,4,3,243,whale
Other,1,431.48999999999995,29.700000000000003,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,29.700000000000003,431.48999999999995,0.0,0.0,999.0,1,1.0,243,4,4,4,444,whale
Other,1,300.45000000000005,30.599999999999998,0,0.0,0.0,0,0.0,0.0,1,300.45000000000005,30.599999999999998,1,30.599999999999998,300.45000000000005,0.0,0.0,999.0,0,0.0,44,2,5,4,254,whale
